,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,nightly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,date_host_since,date_first_review,date_last_review
22,16600726,11881600,within a day,70.0,False,Mission Valley East,6,True,False,Mission Valley East,Condominium,Private room,1,1.0,1,1,30.0,1000.0,50.0,1,90,1125,2,4,100,10,10,10,8,8,8,False,True,False,strict_14_with_grace_period,False,False,2014-02-02,2017-07-01,2018-01-19
23,13961180,83181699,within an hour,100.0,False,Serra Mesa,1,True,True,Serra Mesa,Boutique hotel,Private room,1,1.0,1,1,85.0,200.0,35.0,1,31,120,46,92,99,10,10,10,10,10,10,False,False,False,moderate,False,False,2016-07-11,2016-07-24,2019-08-08
24,22419752,11881600,within a day,70.0,False,Mission Valley East,6,True,False,Mission Valley East,Condominium,Private room,1,1.0,1,1,27.0,1000.0,50.0,1,96,1125,1,2,80,10,6,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2014-02-02,2018-07-31,2018-07-31
25,4726637,12098633,within an hour,100.0,False,North Clairemont,3,True,True,Bay Ho,Guest suite,Entire home/apt,1,1.0,1,1,76.0,100.0,60.0,1,31,260,7,14,97,10,10,10,10,10,10,False,False,False,moderate,False,False,2014-02-09,2015-02-07,2019-04-24
26,1127311,6183960,within a day,100.0,True,Golden Hill,1,True,True,Golden Hill,Condominium,Private room,1,1.0,1,1,75.0,250.0,50.0,1,30,90,215,430,99,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-05-01,2013-06-08,2018-08-15
27,2886805,14753013,,,False,Carmel Valley,1,True,True,Carmel Valley,Townhouse,Private room,1,1.0,1,1,75.0,1000.0,100.0,1,30,1125,8,16,100,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2014-04-26,2014-08-31,2018-09-30
28,21082497,14021537,within a few hours,100.0,False,,1,True,True,Little Italy,Apartment,Private room,1,1.0,1,1,75.0,,,1,30,120,2,4,100,10,10,10,10,10,9,False,False,False,flexible,False,False,2014-04-08,2018-08-09,2019-06-16
32,7096414,37196767,,,False,,1,True,False,La Jolla,Condominium,Private room,1,1.0,1,1,70.0,250.0,35.0,1,30,1125,19,38,97,10,10,10,10,10,10,False,False,False,moderate,False,False,2015-07-01,2015-12-01,2018-09-26
36,7228676,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mount Hope,Condominium,Entire home/apt,1,1.0,1,1,67.0,100.0,30.0,1,30,1125,225,450,93,9,9,10,10,9,9,False,False,False,strict_14_with_grace_period,False,False,2013-07-22,2015-07-22,2019-07-05
38,14725872,56528287,within a few hours,100.0,False,Serra Mesa,1,True,True,Serra Mesa,Townhouse,Private room,1,1.0,1,1,63.0,,11.0,1,31,1125,6,12,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2016-01-28,2016-09-15,2017-06-19
39,13684781,9444320,within an hour,92.0,False,Pacific Beach,6,True,True,Pacific Beach,Condominium,Private room,1,1.0,2,4,65.0,0.0,0.0,1,30,62,5,10,96,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-10-15,2016-06-26,2019-04-03
42,6372898,9580316,within a day,100.0,False,Pacific Beach,2,True,True,Pacific Beach,Guest suite,Entire home/apt,1,1.0,0,1,60.0,100.0,50.0,1,31,120,1,2,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-10-22,2019-05-04,2019-05-04
43,13547079,22153899,within a day,100.0,True,Carmel Valley,4,True,True,Carmel Valley,House,Private room,1,1.0,1,1,60.0,300.0,40.0,1,30,1125,3,6,100,10,10,10,10,9,10,False,False,False,flexible,False,False,2014-10-05,2016-07-24,2018-08-26
44,13685222,64371389,within an hour,100.0,True,,2,True,False,Midtown,House,Private room,1,1.0,1,1,60.0,,,1,30,1125,39,78,97,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2016-03-25,2016-07-05,2019-06-22
45,13769193,4546887,within a day,100.0,False,Carmel Valley,1,True,False,Carmel Valley,Townhouse,Private room,1,1.0,1,1,60.0,200.0,80.0,1,30,1125,10,20,96,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-01-01,2016-07-24,2018-12-15
47,19547750,55555219,within an hour,100.0,True,North Park,3,True,False,University Heights,Condominium,Private room,1,1.0,1,1,55.0,500.0,75.0,1,31,150,12,24,92,9,9,10,9,9,9,False,False,False,strict_14_with_grace_period,False,False,2016-01-21,2017-07-23,2019-06-30
48,1815604,9444320,within an hour,92.0,False,Pacific Beach,6,True,True,Pacific Beach,Apartment,Private room,1,1.0,1,2,60.0,,0.0,1,28,62,68,136,95,9,10,10,9,10,9,False,False,False,strict_14_with_grace_period,False,False,2013-10-15,2015-02-06,2019-06-27
49,7871918,17770025,within an hour,100.0,False,,1,True,True,Tierrasanta,Condominium,Private room,1,1.0,1,1,55.0,1200.0,100.0,1,30,120,26,52,99,10,10,10,10,10,10,False,False,False,moderate,False,False,2014-07-07,2015-09-01,2018-12-15
50,13192557,73852036,within a day,100.0,False,Mission Beach,4,True,False,Mission Beach,Townhouse,Private room,1,1.0,1,1,55.0,100.0,50.0,1,30,1125,2,4,80,7,7,10,9,10,7,False,False,False,flexible,False,False,2016-05-24,2019-03-31,2019-05-31
51,23169470,172247348,,,False,La Jolla,1,True,False,La Jolla,Townhouse,Private room,1,1.0,3,1,55.0,150.0,20.0,1,30,30,1,2,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2018-02-07,2019-06-26,2019-06-26
53,17634558,119877234,within a few hours,100.0,False,Mission Hill,2,True,True,Mission Hill,House,Private room,1,1.5,1,1,50.0,150.0,50.0,1,31,365,40,80,97,10,9,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2017-03-09,2017-03-18,2018-09-10
54,17635204,119877234,within a few hours,100.0,False,Mission Hill,2,True,True,Mission Hill,House,Private room,1,1.5,1,1,50.0,150.0,50.0,1,31,365,21,42,97,10,9,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2017-03-09,2017-03-18,2017-10-29
55,18447066,39267987,,,False,Bay Park,1,True,True,Bay Park,Apartment,Private room,1,1.0,1,1,300.0,,,1,5,1125,1,2,100,10,8,10,10,10,10,False,False,False,flexible,False,False,2015-07-22,2017-08-15,2017-08-15
56,20485276,73851541,within a few hours,100.0,True,,5,True,True,Rancho Bernardo,House,Private room,1,1.5,1,2,150.0,,,1,10,360,2,4,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2016-05-24,2018-07-01,2019-02-03
57,25268820,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,2.0,1,1,50.0,100.0,20.0,1,30,1124,2,4,100,10,9,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2013-07-22,2018-07-09,2018-07-14
58,25863302,11315693,within an hour,100.0,False,Point Loma Heights,11,True,True,Adams North,Apartment,Entire home/apt,1,1.0,0,1,50.0,200.0,100.0,1,30,1125,1,2,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2014-01-15,2018-12-20,2018-12-20
63,22077644,112554728,within an hour,100.0,True,,1,True,True,Pacific Beach,Condominium,Private room,1,1.0,2,1,59.0,,,1,25,91,4,8,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2017-01-21,2018-06-09,2019-06-30
66,3138510,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,1.0,1,1,47.0,100.0,30.0,1,30,1125,120,240,96,10,10,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2013-07-22,2014-06-16,2018-06-08
68,20032284,115949360,within an hour,100.0,False,Hillcrest,5,True,False,Hillcrest,Boutique hotel,Private room,1,1.0,0,1,47.0,,,1,30,60,3,6,93,9,10,10,9,9,9,False,False,False,flexible,False,False,2017-02-11,2017-08-27,2018-12-29
70,35499303,267015116,within an hour,100.0,False,Scripps Ranch,4,True,False,Scripps Ranch,Townhouse,Private room,1,1.5,1,0,45.0,200.0,40.0,1,31,92,2,4,80,7,10,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2019-06-07,2019-07-23,2019-08-11
72,35581781,267015116,within an hour,100.0,False,Scripps Ranch,4,True,False,Scripps Ranch,Townhouse,Private room,1,2.5,1,1,45.0,200.0,30.0,1,31,91,3,6,100,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2019-06-07,2019-07-14,2019-08-04
73,17889842,115949360,within an hour,100.0,False,Hillcrest,5,True,False,Hillcrest,Boutique hotel,Private room,1,1.0,1,1,46.0,,,1,30,1125,1,2,100,10,10,10,8,10,8,False,False,False,flexible,False,False,2017-02-11,2019-07-30,2019-07-30
74,27678337,208912475,within a day,100.0,False,,2,True,False,,House,Private room,1,1.0,1,1,49.0,0.0,15.0,1,28,180,1,2,20,2,6,4,2,2,2,False,True,False,flexible,False,False,2018-08-11,2019-04-02,2019-04-02
75,18011360,123828561,within a few hours,100.0,False,,2,True,True,Carmel Valley,Townhouse,Private room,1,1.0,1,1,45.0,,,2,30,1125,66,132,96,10,10,10,10,10,10,False,False,False,moderate,False,False,2017-04-02,2017-04-08,2017-09-30
77,17221345,115949360,within an hour,100.0,False,Hillcrest,5,True,False,Hillcrest,Boutique hotel,Private room,1,1.0,0,1,44.0,,,1,30,1125,4,8,80,10,10,10,10,10,9,False,False,False,flexible,False,False,2017-02-11,2017-03-29,2019-07-20
78,17807718,115949360,within an hour,100.0,False,Hillcrest,5,True,False,Hillcrest,Boutique hotel,Private room,1,1.0,0,1,44.0,,,1,30,1125,4,8,85,9,9,10,10,10,9,False,False,False,flexible,False,False,2017-02-11,2017-05-01,2019-08-01
79,11226847,58508816,within a day,100.0,False,Bay Ho,2,True,False,Bay Ho,House,Private room,1,1.0,1,1,42.0,195.0,39.0,1,30,1125,5,10,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-02-12,2017-04-24,2019-08-11
81,20455265,146015788,within a day,100.0,False,Carmel Valley,2,True,False,Carmel Valley,Townhouse,Private room,1,1.0,1,1,41.0,100.0,50.0,1,30,1125,2,4,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2017-08-14,2018-05-13,2018-11-01
82,853488,4456805,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,1.0,1,1,39.0,500.0,99.0,1,31,99999,28,56,98,10,9,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2012-12-21,2013-10-01,2018-01-31
83,20093906,25669785,within an hour,100.0,True,Miramar Ranch North,2,True,True,Miramar Ranch North,House,Private room,1,1.0,1,1,39.0,500.0,0.0,1,31,1000,6,12,97,10,9,10,10,10,9,False,False,False,moderate,False,False,2015-01-06,2017-07-31,2018-09-30
84,20852562,25502356,within an hour,100.0,True,Morena,2,True,True,Morena,Townhouse,Private room,1,1.0,1,1,40.0,0.0,110.0,1,30,300,30,60,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-01-02,2017-09-10,2019-08-08
85,22656142,25502356,within an hour,100.0,True,Morena,2,True,True,Morena,Townhouse,Private room,1,1.0,1,1,48.0,200.0,110.0,1,25,200,8,16,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-01-02,2018-01-12,2019-08-01
86,30590175,10164573,within an hour,100.0,False,Costa Mesa,3,True,True,North Park,House,Private room,1,1.0,1,1,85.0,200.0,80.0,1,14,30,1,2,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-11-21,2019-04-09,2019-04-09
87,791505,3547828,within a day,80.0,False,Golden Hill,7,True,True,Old Town,Apartment,Private room,1,1.0,1,1,39.0,500.0,150.0,1,30,365,1,2,60,6,8,6,4,10,6,False,False,False,strict_14_with_grace_period,False,False,2012-09-12,2018-06-19,2018-06-19
89,6360748,32618632,,,False,Point Loma Heights,1,True,True,Point Loma Heights,Condominium,Private room,1,1.5,1,1,55.0,300.0,50.0,1,21,360,8,16,94,10,10,10,10,9,9,False,False,False,strict_14_with_grace_period,False,False,2015-05-04,2015-08-29,2016-08-11
90,20329937,125750345,within a few hours,100.0,False,,1,True,False,Golden Hill,Condominium,Private room,1,1.0,1,1,37.0,250.0,20.0,1,30,1125,1,2,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2017-04-13,2019-04-01,2019-04-01
92,2023443,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,1.0,1,1,35.0,100.0,20.0,1,30,1125,166,332,96,10,10,10,10,9,10,False,False,False,moderate,False,False,2013-07-22,2014-02-02,2019-01-01
93,15829735,3547828,within a day,80.0,False,Golden Hill,7,True,True,East Village,Serviced apartment,Private room,1,1.0,1,1,35.0,500.0,150.0,1,30,365,2,4,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2012-09-12,2016-11-17,2017-04-03
94,21276801,54526854,within a few hours,100.0,True,,1,True,True,,Townhouse,Private room,1,1.0,1,1,35.0,0.0,70.0,1,30,95,11,22,98,10,10,10,10,9,10,False,False,False,flexible,False,False,2016-01-13,2017-12-11,2019-08-10
97,22166321,123828561,within a few hours,100.0,False,,2,True,True,Carmel Valley,Townhouse,Private room,1,1.0,1,1,33.0,,,1,30,1125,6,12,90,9,6,9,9,9,9,False,True,False,strict_14_with_grace_period,False,False,2017-04-02,2018-04-02,2019-07-28
98,32286661,94836570,within a few hours,100.0,False,,1,True,False,Rancho Penasquitos,House,Private room,1,1.0,1,0,33.0,,,1,30,120,1,2,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2016-09-12,2019-04-28,2019-04-28
99,22066636,5190745,within an hour,100.0,False,Mission Beach,4,True,False,North Clairemont,House,Private room,1,1.0,1,1,35.0,,,1,28,414,7,14,94,9,8,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-02-22,2018-01-06,2019-08-09
100,25745817,5190745,within an hour,100.0,False,Mission Beach,4,True,False,North Clairemont,House,Private room,1,1.0,1,1,35.0,0.0,29.0,1,28,360,2,4,100,10,9,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2013-02-22,2018-08-05,2019-04-11
102,2234293,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,1.0,1,1,48.0,100.0,20.0,1,20,1125,166,332,97,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-07-22,2014-02-18,2019-07-31
104,32267334,9894588,within a few hours,100.0,False,Point Loma Heights,1,True,False,Point Loma Heights,House,Private room,1,1.0,1,1,94.0,,,6,10,90,1,2,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2013-11-08,2019-05-31,2019-05-31
105,21023173,151401927,within an hour,100.0,False,,1,True,False,,House,Private room,1,1.0,1,1,30.0,250.0,15.0,1,30,180,4,8,100,10,10,9,10,10,9,False,False,False,flexible,False,False,2017-09-20,2017-11-30,2019-06-21
109,3369288,16999041,within an hour,100.0,True,Golden Hill,3,True,True,Golden Hill,House,Private room,1,1.0,1,1,125.0,200.0,0.0,1,7,90,12,24,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-06-19,2014-07-28,2019-05-16
111,25268522,7653310,within an hour,100.0,True,Mira Mesa,6,True,True,Mira Mesa,House,Private room,1,2.0,1,1,40.0,100.0,20.0,1,20,1124,8,16,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-07-22,2018-07-21,2019-08-10
114,3413201,16999041,within an hour,100.0,True,Golden Hill,3,True,True,Golden Hill,House,Private room,1,1.0,1,1,100.0,200.0,0.0,1,7,90,14,28,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-06-19,2014-07-28,2019-08-16
115,4058301,21047879,,,False,Normal Heights,2,True,False,Normal Heights,House,Private room,1,1.0,1,1,175.0,,15.0,1,4,1125,12,24,98,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2014-09-07,2015-02-16,2015-09-08
117,19194937,16999041,within an hour,100.0,True,Golden Hill,3,True,True,Golden Hill,House,Private room,1,1.5,1,1,100.0,200.0,0.0,1,7,90,13,26,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-06-19,2017-07-13,2019-07-22
121,11244715,58508816,within a day,100.0,False,Bay Ho,2,True,False,Bay Ho,House,Private room,1,1.0,1,1,45.0,195.0,30.0,1,14,1125,7,14,100,10,10,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2016-02-12,2016-05-20,2019-08-11
127,2812322,3434582,within a day,86.0,False,North Park,2,True,True,North Park,House,Private room,1,1.0,1,1,140.0,0.0,20.0,1,4,50,23,46,97,10,9,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2012-08-31,2014-06-01,2019-07-18
128,6215705,1848403,within a few hours,100.0,False,Mira Mesa,2,True,True,Mira Mesa,House,Private room,1,1.0,1,1,55.0,100.0,30.0,1,10,365,5,10,96,9,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2012-03-03,2016-09-19,2018-08-11
131,6689831,31316570,,,False,Pacific Beach,1,True,True,Pacific Beach,Condominium,Private room,1,1.5,1,1,265.0,599.0,100.0,1,2,1125,1,2,100,8,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-04-16,2015-07-07,2015-07-07
133,35882560,60995800,within an hour,100.0,False,Grantville,1,True,False,Grantville,Apartment,Private room,1,1.0,1,1,260.0,150.0,50.0,1,2,20,1,2,80,10,6,8,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-02-29,2019-07-22,2019-07-22
134,8254391,830928,,,False,La Jolla,1,True,True,La Jolla,House,Private room,1,1.0,1,1,85.0,95.0,,1,6,60,2,4,100,10,10,10,10,10,10,False,False,False,flexible,False,True,2011-07-17,2016-04-02,2016-08-06
135,19792814,3396026,within an hour,100.0,True,University City,5,True,False,University City,Townhouse,Private room,1,1.0,1,1,169.0,350.0,65.0,1,3,365,12,24,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2012-08-28,2017-08-03,2019-08-10
136,26302492,73851541,within a few hours,100.0,True,,5,True,True,Rancho Bernardo,House,Private room,1,1.5,1,2,50.0,,,1,10,360,8,16,93,10,9,10,9,10,10,False,True,False,moderate,False,False,2016-05-24,2018-07-15,2019-04-09
137,2088659,10661250,,,False,Mission Beach,1,True,True,Mission Beach,House,Private room,1,1.0,1,1,499.0,0.0,25.0,2,1,7,4,8,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-12-16,2014-05-15,2018-05-25
138,3053563,9073422,within a day,100.0,True,University City,2,True,True,University City,Apartment,Entire home/apt,1,1.0,1,1,70.0,200.0,150.0,1,7,1125,2,4,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-09-26,2016-10-27,2017-01-28
139,21637159,154771532,within a few hours,100.0,True,Serra Mesa,2,True,False,Serra Mesa,House,Private room,1,1.5,1,1,35.0,150.0,25.0,1,14,45,33,66,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2017-10-16,2017-11-20,2019-08-03
140,25950734,177057381,within a few hours,80.0,False,Clairemont Mesa East,4,True,False,Clairemont Mesa East,House,Private room,1,1.0,1,1,70.0,,30.0,1,7,1125,1,2,100,10,10,10,10,8,8,False,False,False,flexible,False,False,2018-03-06,2019-08-13,2019-08-13
144,37092348,279002104,within a few hours,100.0,False,Scripps Ranch,0,True,False,Scripps Ranch,Townhouse,Private room,1,1.5,1,1,65.0,0.0,25.0,1,7,30,1,2,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2019-07-24,2019-08-14,2019-08-14
146,20120289,108899747,within a day,100.0,True,La Jolla,1,True,False,La Jolla,House,Private room,1,1.0,1,1,150.0,400.0,0.0,1,3,1125,8,16,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-12-28,2017-09-13,2019-06-29
148,18073116,10114396,within an hour,100.0,False,Clairemont Mesa East,3,True,True,Clairemont Mesa East,Apartment,Private room,1,1.0,1,1,60.0,,,1,7,20,3,6,87,9,7,10,10,7,7,False,False,False,moderate,False,False,2013-11-19,2017-07-19,2019-07-21
149,19914105,80752999,within an hour,100.0,False,,1,True,False,,Guest suite,Private room,1,1.0,1,1,140.0,100.0,30.0,1,3,90,9,18,98,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2016-06-29,2017-08-13,2019-07-28
150,23685873,177057381,within a few hours,80.0,False,Clairemont Mesa East,4,True,False,Clairemont Mesa East,House,Private room,1,1.0,1,1,60.0,0.0,30.0,1,7,1125,2,4,100,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2018-03-06,2018-08-11,2019-07-20
151,26190169,73851541,within a few hours,100.0,True,,5,True,True,Rancho Bernardo,House,Private room,1,1.5,1,1,60.0,0.0,0.0,1,7,360,9,18,93,9,9,10,10,10,10,False,True,False,moderate,False,False,2016-05-24,2018-07-14,2019-08-03
153,9859063,8706414,within a few hours,100.0,False,Clairemont Mesa East,2,True,True,Clairemont Mesa East,House,Private room,1,1.0,1,1,200.0,,10.0,1,2,1125,2,4,90,10,10,10,10,10,9,False,False,False,flexible,False,False,2013-09-08,2018-04-11,2019-07-21
154,17099811,16308848,within an hour,100.0,False,Clairemont Mesa East,2,True,True,Clairemont Mesa East,Apartment,Private room,1,1.5,1,1,40.0,2200.0,30.0,1,10,95,3,6,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-06-02,2017-03-02,2017-08-05
156,20125872,131464597,within a day,100.0,False,Teralta West,1,True,False,Teralta West,Serviced apartment,Private room,1,1.5,1,2,100.0,,,1,4,5,3,6,100,10,9,9,10,9,9,False,True,False,flexible,False,False,2017-05-22,2017-09-06,2018-05-25
158,9315083,42709700,within a day,50.0,True,La Jolla,1,True,False,La Jolla,Cottage,Private room,1,1.0,1,1,79.0,300.0,75.0,1,5,120,9,18,98,10,10,10,10,10,9,False,False,False,moderate,False,False,2015-08-27,2017-03-16,2019-08-11
159,27635927,53343378,within a day,57.0,False,North Park,1,True,True,North Park,Condominium,Private room,1,1.0,1,1,95.0,0.0,0.0,2,4,300,3,6,100,10,10,10,10,9,9,False,False,False,strict_14_with_grace_period,False,False,2016-01-04,2018-09-19,2018-12-31
161,19955725,13586745,,,False,North Clairemont,1,True,False,North Clairemont,House,Private room,1,1.0,1,1,180.0,150.0,0.0,1,2,1125,4,8,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2014-03-27,2018-07-21,2019-03-13
163,33361435,1339763,within an hour,100.0,False,Torrey Pines,1,True,True,Torrey Pines,House,Private room,1,1.0,1,1,90.0,300.0,50.0,1,4,1125,5,10,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,True,True,2011-10-26,2019-05-16,2019-06-21
166,11801217,42076933,within a few hours,100.0,False,,2,True,False,La Jolla,Townhouse,Private room,1,1.5,1,1,50.0,,,1,7,1125,2,4,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-08-20,2019-06-03,2019-06-28
167,16268888,10114396,within an hour,100.0,False,Clairemont Mesa East,3,True,True,Clairemont Mesa East,Townhouse,Private room,1,1.0,1,1,50.0,,,1,7,180,17,34,95,10,9,10,10,10,9,False,False,False,moderate,False,False,2013-11-19,2016-12-18,2019-06-29
168,25138355,45039463,,,False,Ocean Beach,2,True,False,Ocean Beach,Apartment,Private room,1,1.0,1,1,50.0,,,1,7,1125,2,4,90,8,8,8,8,9,9,False,True,False,flexible,False,False,2015-09-24,2018-06-04,2018-06-10
169,26848573,25617057,,,False,,1,True,False,Golden Hill,Apartment,Private room,1,1.0,1,1,350.0,,,1,1,2,1,2,100,10,10,10,10,10,8,False,False,False,flexible,False,False,2015-01-05,2018-07-22,2018-07-22
170,27170948,204593780,,,False,Serra Mesa,1,True,False,Serra Mesa,Apartment,Private room,1,1.0,1,1,50.0,0.0,0.0,1,7,90,1,2,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2018-07-23,2018-08-18,2018-08-18
